Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63031,By Night in Chile,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""""","=""""",3,New Directions,Paperback,118,2011,2000,2026/01/30,2026/01/28,,,read,"Κατάθεση ψυχής του Μπολάνιο, το μεγάλο του «κατηγορώ» απέναντι στην ελιτίστικη κάστα των λογοτεχνών της Χιλής. Τρομεροί συμβολισμοί και έμμεσες αναφορές σε υπαρκτά πρόσωπα και καταστάσεις. Δύσκολο ανάγνωσμα σε κάποια μέρη: ο τρόπος γραφής πληθωρικότατος, αλλά σε συνδυασμό με τις μακριές προτάσεις κάποια σημέια με κούρασαν. Ίσως ήταν και συγκυριακό. <br/>3,5 / 5",,,1,0
19161888,Pop. 1280 (Mulholland Classic),Jim Thompson,"Thompson, Jim",,"=""0316403784""","=""9780316403788""",0,"Little, Brown Paperbacks",Paperback,231,2014,1964,,2026/01/29,to-read,to-read (#419),to-read,,,,0,0
298663,The Killer Inside Me,Jim Thompson,"Thompson, Jim",,"=""0679733973""","=""9780679733973""",0,Vintage Crime/Black Lizard,Paperback,244,1991,1952,,2026/01/29,to-read,to-read (#418),to-read,,,,0,0
23515727,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",0,Vintage International,Paperback,309,2006,2005,,2026/01/29,to-read,to-read (#417),to-read,,,,0,0
17901633,Η καρδιά του σκότους,Joseph Conrad,"Conrad, Joseph",Αλεξάνδρα Παπαθανασοπούλου,"=""9606009394""","=""9789606009396""",5,Εκδόσεις Πατάκη,Paperback,136,1999,1899,2026/01/27,2024/10/29,,,read,,,,1,0
244198641,Ο δρόμος προς τα αστέρια,Ingvild H. Rishøi,"Rishøi, Ingvild H.",Κρυστάλλη Γλυνιαδάκη,"=""6180345872""","=""9786180345872""",0,Εκδόσεις Μεταίχμιο,Paperback,200,2025,2021,,2026/01/26,to-read,to-read (#416),to-read,,,,0,0
53409805,"Midnight Atlanta (Darktown, #3)",Thomas Mullen,"Mullen, Thomas",,"=""1408713101""","=""9781408713105""",0,"Little, Brown UK",Hardcover,400,2021,2020,,2026/01/24,to-read,to-read (#415),to-read,,,,0,0
32895284,"Lightning Men (Darktown, #2)",Thomas Mullen,"Mullen, Thomas",,"=""1501138790""","=""9781501138799""",0,37 Ink,Hardcover,384,2017,2017,,2026/01/24,to-read,to-read (#414),to-read,,,,0,0
27274326,"Darktown (Darktown, #1)",Thomas Mullen,"Mullen, Thomas",,"=""1501133888""","=""9781501133886""",5,Simon  Schuster,ebook,384,2016,2016,2026/01/24,2025/08/24,noir,noir (#27),read,,,,1,0
6918862,Το λάθος,Antonis Samarakis,"Samarakis, Antonis",Αντώνης Σαμαράκης,"=""9600316694""","=""9789600316698""",0,Καστανιώτης,Paperback,231,1998,1965,,2026/01/19,to-read,to-read (#413),to-read,,,,0,0
